House Number,Street,First Name,Surname,Age,Relationship to Head of House,Marital Status,Gender,Occupation,Infirmity,Religion
1,Pendragon Street,Sian,Smith,72,Head,Widowed,Female,Retired Media buyer,None,Methodist
2,Pendragon Street,Claire,Thomson,23,Head,Single,Female,Secretary/administrator,None,Methodist
2,Pendragon Street,Nathan,McLean,25,None,Single,Male,Drilling engineer,None,None
3,Pendragon Street,Donna,Taylor,44,Head,Married,Female,Careers adviser,None,Catholic
3,Pendragon Street,Bernard,Taylor,47,Husband,Married,Male,Radiation protection practitioner,None,Catholic
3,Pendragon Street,Jordan,Taylor,9,Son,NA,Male,Student,None,NA
3,Pendragon Street,Jill,Taylor,9,Daughter,NA,Female,Student,None,NA
4,Pendragon Street,Sheila,Nicholls,40,Head,Single,Female,Legal secretary,None,None
4,Pendragon Street,Valerie,James,57,Visitor,Single,Female,Glass blower/designer,None,Catholic
4,Pendragon Street,Sheila,Wood,29,Cousin,Single,Female,"Designer, multimedia",None,Catholic
4,Pendragon Street,Leslie,Davidson,52,Lodger,Single,Male,"Engineer, drilling",None,Christian
5,Pendragon Street,Georgina,Little,37,Head,Married,Female,Airline pilot,None,None
5,Pendragon Street,Stanley,Little,38,Husband,Married,Male,Geochemist,None,None
5,Pendragon Street,Jamie,Little,4,Son,NA,Male,Child,None,NA
5,Pendragon Street,Ricky,Little,3,Son,NA,Male,Child,None,NA
6,Pendragon Street,Kerry,Jones,68,Head,Married,Female,Retired Herbalist,None,Christian
6,Pendragon Street,Tony,Jones,71,Husband,Married,Male,Retired Aid worker,None,Christian
6,Pendragon Street,Cheryl,Jones,37,Daughter,Single,Female,Tax inspector,None,Christian
7,Pendragon Street,Jessica,Jones,39,Head,Married,Female,Government social research officer,None,None
7,Pendragon Street,James,Jones,37,Husband,Married,Male,Web designer,None,None
7,Pendragon Street,Christian,Jones,6,Son,NA,Male,Student,None,NA
8,Pendragon Street,Hannah,Lawrence,45,Head,Single,Female,Unemployed,None,None
9,Pendragon Street,Barbara,Walton,31,Head,Married,Female,Hospital doctor,None,None
9,Pendragon Street,Andrew,Walton,35,Husband,Married,Male,Transport planner,None,None
9,Pendragon Street,Elliott,Cook,30,Lodger,Single,Male,"Librarian, public",None,Christian
